computer	application	vendor	version
160611EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
160611EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
160611EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
160611EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160611EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160611EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
160611EIU	Windows Media Encoder 9 Series	Microsoft Corporation	9.00.2980
160611EIU	QuickTime	Apple Inc.	7.70.80.34
160611EIU	TurningPoint 2008	Turning Technologies, LLC.	4.3.2.1178
160611EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160611EIU	SMART Product Drivers	SMART Technologies ULC	10.6.48.0
160611EIU	SMART Notebook	SMART Technologies ULC	10.6.96.0
160611EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160611EIU	Java(TM) 6 Update 26	Oracle	6.0.260
160611EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160611EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160611EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
160611EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160611EIU	Adobe AIR	Adobe Systems Incorporated	2.7.1.19610
160611EIU	swMSM	Adobe Systems, Inc	12.0.0.1
160611EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160611EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160611EIU	iTunes	Apple Inc.	10.5.0.142
160611EIU	IBM SPSS Statistics 19	SPSS Inc., an IBM Company	19.0.0
160611EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160611EIU	Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	8.0.61001
160611EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
160611EIU	StarBoard Software	Hitachi Software Engineering Co., Ltd.	8.0
160611EIU	Bonjour	Apple Inc.	2.0.2.0
160611EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160611EIU	Apple Application Support	Apple Inc.	2.1.5
160611EIU	StarBoard Software StandardGallery		8.00.0000
160611EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160611EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
