computer	application	vendor	version
153262EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
153262EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
153262EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
153262EIU	Shared Add-in Support Update for Microsoft .NET Framework 2.0 (KB908002)	Microsoft	1.0.0
153262EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
153262EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
153262EIU	Wolfram Notebook Indexer 2.0	Wolfram Research	2.18.34059
153262EIU	Windows Media Encoder 9 Series	Microsoft Corporation	9.00.2980
153262EIU	Google Toolbar for Internet Explorer	Google Inc.	1.0.0
153262EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
153262EIU	QuickTime	Apple Inc.	7.70.80.34
153262EIU	Bonjour	Apple Inc.	2.0.0.34
153262EIU	AVer+	AVerMedia Information, Inc.	1.5.1.06
153262EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
153262EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
153262EIU	Apple Application Support	Apple Inc.	2.0.1
153262EIU	Adobe Media Player	Adobe Systems Incorporated	0.0.0
153262EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
153262EIU	Java(TM) 6 Update 26	Oracle	6.0.260
153262EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
153262EIU	Adobe Reader 9.4.5	Adobe Systems Incorporated	9.4.5
153262EIU	OMNIC Utilities	Thermo Nicolet Corporation	3.1
153262EIU	OMNIC Internationalization	Thermo Electron Corporation	7.10.0000
153262EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
153262EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
153262EIU	swMSM	Adobe Systems, Inc	12.0.0.1
153262EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
153262EIU	OMNIC Tutorials	Thermo Electron Corporation	7.1.398
153262EIU	Panopto Recorder	Panopto	2.2.2640
153262EIU	OMNIC User Guide	Thermo Electron Corporation	6.2
153262EIU	Java 2 Runtime Environment, SE v1.4.2_06	Sun Microsystems, Inc.	1.4.2_06
153262EIU	Nicolet 380 Spectrometer and Help	Thermo Electron Corporation	7.11.0000
153262EIU	Google Update Helper	Google Inc.	1.3.21.79
153262EIU	CambridgeSoft Activation Client	CambridgeSoft Corporation	12.0
153262EIU	iTunes	Apple Inc.	10.2.2.12
153262EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
153262EIU	Origin81	OriginLab	8.10.000
153262EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
153262EIU	StarBoard Software	Hitachi Software Engineering Co., Ltd.	8.0
153262EIU	EZ OMNIC	Thermo Electron Corporation	7.1.434
153262EIU	Mercury	CCDC	2.3
153262EIU	Smart Accessory Tutorials	Thermo Electron Corporation	1.0.0
153262EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
153262EIU	CambridgeSoft ChemBio3D Ultra 12.0	CambridgeSoft Corporation	12.0
153262EIU	StarBoard Software StandardGallery		8.00.0000
153262EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
153262EIU	Apple Mobile Device Support	Apple Inc.	3.4.0.25
153262EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
